Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
ophthalmology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ophthalmology': [SJR:norm_title] Ophthalmology | [SJR:norm_title] Journal of Ophthalmology | [SJR:norm_title] International Ophthalmology | [SJR:norm_title] International Journal of Ophthalmology / ranks: SJR Q1 | SJR Q2 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
optimization,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'optimization': [SJR:norm_title] Optimization | [SJR:norm_title] Journal of Optimization / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
oral implantology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'oral implantology': [SJR:norm_title] International Journal of Oral Implantology | [SJR:norm_title] Journal of Oral Implantology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
oral maxillofacial surgery,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'oral maxillofacial surgery': [SJR:norm_title] International Journal of Oral and Maxillofacial Surgery | [SJR:norm_title] Journal of Oral and Maxillofacial Surgery | [SJR:norm_title] Oral and Maxillofacial Surgery / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
oral science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'oral science': [SJR:norm_title] International Journal of Oral Science | [SJR:norm_title] Journal of Oral Science | [SJR:norm_title] Oral Science International / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
orthopaedic surgery,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'orthopaedic surgery': [SJR:norm_title] Orthopaedic Surgery | [SJR:norm_title] Journal of Orthopaedic Surgery / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
osteopathic medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'osteopathic medicine': [SJR:norm_title] Journal of Osteopathic Medicine | [SJR:norm_title] International Journal of Osteopathic Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
osteoporosis,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'osteoporosis': [SJR:norm_title] Osteoporosis International | [SJR:norm_title] Journal of Osteoporosis / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
palaeogeography,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'palaeogeography': [SJR:norm_title] Journal of Palaeogeography | [SJR:norm_title] Journal of Palaeogeography (Chinese Edition) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
pancreatology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pancreatology': [SJR:norm_title] Pancreatology | [SJR:norm_title] Journal of Pancreatology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
parallel distributed computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'parallel distributed computing': [CORE:norm_title] International Symposium on Parallel and Distributed Computing | [SJR:norm_title] Journal of Parallel and Distributed Computing / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
parasitology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'parasitology': [SJR:norm_title] Parasitology | [SJR:norm_title] Parasitology International | [SJR:norm_title] Journal of Parasitology / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
parasitology research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'parasitology research': [SJR:norm_title] Parasitology Research | [SJR:norm_title] Journal of Parasitology Research / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
parkinson s disease,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'parkinson s disease': [SJR:norm_title] Journal of Parkinson's Disease | [SJR:norm_title] Parkinson's Disease / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
peacekeeping,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'peacekeeping': [SJR:norm_title] International Peacekeeping | [SJR:norm_title] Journal of International Peacekeeping / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
pediatric research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pediatric research': [SJR:norm_title] Pediatric Research | [SJR:norm_title] Journal of Pediatric Research / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
perfusion,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'perfusion': [SJR:norm_title] Perfusion (United Kingdom) | [SJR:norm_title] Perfusion (Germany) / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
perinatology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'perinatology': [SJR:norm_title] Journal of Perinatology | [SJR:norm_title] Perinatology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
personnel psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'personnel psychology': [SJR:norm_title] Personnel Psychology | [SJR:norm_title] Journal of Personnel Psychology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
petrology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'petrology': [SJR:norm_title] Journal of Petrology | [SJR:norm_title] Petrology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
pets,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pets': [CORE:acronym] Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies) | [SJR:norm_title] Pets / ranks: CORE A | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
pharmacy practice,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pharmacy practice': [SJR:norm_title] International Journal of Pharmacy Practice | [SJR:norm_title] Journal of Pharmacy Practice | [SJR:norm_title] Pharmacy Practice / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
philosophia,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'philosophia': [SJR:norm_title] Philosophia (United States) | [SJR:norm_title] Philosophia (Philippines) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
philosophical investigations,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'philosophical investigations': [SJR:norm_title] Philosophical Investigations | [SJR:norm_title] Journal of Philosophical Investigations / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
philosophical quarterly,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'philosophical quarterly': [SJR:norm_title] Philosophical Quarterly | [SJR:norm_title] International Philosophical Quarterly / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
photochemistry photobiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'photochemistry photobiology': [SJR:norm_title] Photochemistry and Photobiology | [SJR:norm_title] Journal of Photochemistry and Photobiology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
physical activity health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'physical activity health': [SJR:norm_title] Journal of Physical Activity and Health | [SJR:norm_title] Physical Activity and Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
physical oceanography,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'physical oceanography': [SJR:norm_title] Journal of Physical Oceanography | [SJR:norm_title] Physical Oceanography / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
phytopathology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'phytopathology': [SJR:norm_title] Phytopathology | [SJR:norm_title] Journal of Phytopathology | [SJR:norm_title] International Journal of Phytopathology / ranks: SJR Q1 | SJR Q3 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
plant biology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'plant biology': [SJR:norm_title] Plant Biology | [SJR:norm_title] Journal of Plant Biology | [SJR:norm_title] International Journal of Plant Biology / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
plant ecology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'plant ecology': [SJR:norm_title] Journal of Plant Ecology | [SJR:norm_title] Plant Ecology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
plant pathology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'plant pathology': [SJR:norm_title] Plant Pathology | [SJR:norm_title] Journal of Plant Pathology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
policy studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'policy studies': [SJR:norm_title] Policy Studies | [SJR:norm_title] Journal of Policy Studies / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
political economy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'political economy': [SJR:norm_title] Journal of Political Economy | [SJR:norm_title] International Journal of Political Economy / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
political theory,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'political theory': [SJR:norm_title] Political Theory | [SJR:norm_title] Journal of International Political Theory / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
polymer,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'polymer': [SJR:norm_title] Polymer | [SJR:norm_title] Polymer International | [SJR:norm_title] Polymer (Korea) / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
polymer science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'polymer science': [SJR:norm_title] Journal of Polymer Science | [SJR:norm_title] International Journal of Polymer Science / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
population economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'population economics': [SJR:norm_title] Journal of Population Economics | [SJR:norm_title] Population and Economics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
population studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'population studies': [SJR:norm_title] Population Studies | [SJR:norm_title] International Journal of Population Studies / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
preventive medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'preventive medicine': [SJR:norm_title] Preventive Medicine | [SJR:norm_title] International Journal of Preventive Medicine / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
project management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'project management': [SJR:norm_title] International Journal of Project Management | [SJR:norm_title] Journal of Project Management (Canada) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
projections,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'projections': [SJR:norm_title] Projections (New York) | [SJR:norm_title] Projections / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
prosthodontics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'prosthodontics': [SJR:norm_title] Journal of Prosthodontics | [SJR:norm_title] International Journal of Prosthodontics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
proteomics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'proteomics': [SJR:norm_title] Proteomics | [SJR:norm_title] Journal of Proteomics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
psychological science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychological science': [SJR:norm_title] Psychological Science | [SJR:norm_title] Journal of Psychological Science / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychology': [SJR:norm_title] Journal of Psychology | [SJR:norm_title] International Journal of Psychology | [SJR:norm_title] Psychology / ranks: SJR Q1 | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
psychopathology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychopathology': [SJR:norm_title] Psychopathology | [SJR:norm_title] Journal of Psychopathology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
public administration,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'public administration': [SJR:norm_title] Public Administration | [SJR:norm_title] International Journal of Public Administration / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
public policy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'public policy': [SJR:norm_title] Journal of Public Policy | [SJR:norm_title] International Journal of Public Policy / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
quantitative economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'quantitative economics': [SJR:norm_title] Quantitative Economics | [SJR:norm_title] Journal of Quantitative Economics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
quaternary,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'quaternary': [SJR:norm_title] Quaternary International | [SJR:norm_title] Quaternary / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
radiation research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'radiation research': [SJR:norm_title] Journal of Radiation Research | [SJR:norm_title] Radiation Research | [SJR:norm_title] International Journal of Radiation Research / ranks: SJR Q1 | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
reading writing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'reading writing': [SJR:norm_title] Reading and Writing | [SJR:norm_title] Reading and Writing (South Africa) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
refrigeration,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'refrigeration': [SJR:norm_title] International Journal of Refrigeration | [SJR:norm_title] Journal of Refrigeration / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
religion,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'religion': [SJR:norm_title] Religion | [SJR:norm_title] Journal of Religion / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
retos,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'retos': [SJR:norm_title] Retos | [SJR:norm_title] Retos (Ecuador) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review economics': [SJR:norm_title] Annual Review of Economics | [SJR:norm_title] Review of International Economics | [SJR:norm_title] International Review of Economics | [SJR:norm_title] Review of Economics / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review education': [SJR:norm_title] Review of Education | [SJR:norm_title] International Review of Education / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review finance,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review finance': [SJR:norm_title] Review of Finance | [SJR:norm_title] International Review of Finance / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review financial economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review financial economics': [SJR:norm_title] Annual Review of Financial Economics | [SJR:norm_title] Review of Financial Economics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review law economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review law economics': [SJR:norm_title] International Review of Law and Economics | [SJR:norm_title] Review of Law and Economics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
review sociology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'review sociology': [SJR:norm_title] Annual Review of Sociology | [SJR:norm_title] International Review of Sociology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
revista espanola de cardiologia,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'revista espanola de cardiologia': [SJR:norm_title] Revista Espanola de Cardiologia (English edition) | [SJR:norm_title] Revista Espanola de Cardiologia / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
rheumatic diseases,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'rheumatic diseases': [SJR:norm_title] Journal of Rheumatic Diseases | [SJR:norm_title] International Journal of Rheumatic Diseases / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
rhinology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'rhinology': [SJR:norm_title] Rhinology | [SJR:norm_title] Journal of Rhinology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
robotics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'robotics': [SJR:norm_title] Robotics | [SJR:norm_title] Journal of Robotics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
russian linguistics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'russian linguistics': [SJR:norm_title] Russian Journal of Linguistics | [SJR:norm_title] Russian Linguistics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
school health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'school health': [SJR:norm_title] Journal of School Health | [SJR:norm_title] International Journal of School Health / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
science communication,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'science communication': [SJR:norm_title] Science Communication | [SJR:norm_title] Journal of Science Communication / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
science education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'science education': [SJR:norm_title] Science Education | [SJR:norm_title] Science and Education | [SJR:norm_title] International Journal of Science Education | [SJR:norm_title] Science Education International / ranks: SJR Q1 | SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
security,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'security': [CORE:norm_title] International Workshop on Security | [SJR:norm_title] International Security / ranks: CORE National: Japan | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
semantics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'semantics': [CORE:acronym] Semantics - International Conference on Semantic Systems | [SJR:norm_title] Journal of Semantics / ranks: CORE Regional: Austria, Germany, Netherlands | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
semiconductors,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'semiconductors': [SJR:norm_title] Journal of Semiconductors | [SJR:norm_title] Semiconductors / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sexual health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sexual health': [SJR:norm_title] International Journal of Sexual Health | [SJR:norm_title] Sexual Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sexual medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sexual medicine': [SJR:norm_title] Journal of Sexual Medicine | [SJR:norm_title] Sexual Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
slovo,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'slovo': [SJR:norm_title] Slovo (Croatia) | [SJR:norm_title] Slovo / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
social history,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'social history': [SJR:norm_title] Journal of Social History | [SJR:norm_title] Social History / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
social work,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'social work': [SJR:norm_title] Journal of Social Work | [SJR:norm_title] International Social Work | [SJR:norm_title] Social Work / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sociology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sociology': [SJR:norm_title] Sociology | [SJR:norm_title] Journal of Sociology | [SJR:norm_title] International Sociology | [SJR:norm_title] International Journal of Sociology / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sociology education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sociology education': [SJR:norm_title] Sociology of Education | [SJR:norm_title] International Journal of Sociology of Education / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
soil science plant nutrition,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'soil science plant nutrition': [SJR:norm_title] Journal of Soil Science and Plant Nutrition | [SJR:norm_title] Soil Science and Plant Nutrition / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sophia,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sophia': [SJR:norm_title] Sophia | [SJR:norm_title] Sophia (Ecuador) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
space science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'space science technology': [SJR:norm_title] Space: Science and Technology (United States) | [SJR:norm_title] Space Science and Technology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
special education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'special education': [SJR:norm_title] Journal of Special Education | [SJR:norm_title] International Journal of Special Education / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sport exercise psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sport exercise psychology': [SJR:norm_title] International Journal of Sport and Exercise Psychology | [SJR:norm_title] Journal of Sport and Exercise Psychology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
